OTU_19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_3255	k__Fungi
OTU_3263	k__Fungi
OTU_3259	k__Fungi
OTU_3258	k__Fungi
OTU_3239	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis
OTU_3221	k__Fungi
OTU_3269	k__Fungi
OTU_3266	k__Fungi;p__Ascomycota
OTU_3267	k__Fungi
OTU_3273	k__Fungi;p__Ascomycota
OTU_3272	k__Fungi;p__Ascomycota
OTU_3271	k__Fungi
OTU_3276	k__Fungi
OTU_3277	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ophionectria;s__Ophionectria_trichospora_SH197877.07FU
OTU_3257	k__Fungi
OTU_3274	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3282	k__Fungi;p__Ascomycota
OTU_3275	k__Fungi
OTU_3284	k__Fungi;p__Basidiomycota
OTU_3278	k__Fungi;p__Ascomycota
OTU_3280	k__Fungi
OTU_3270	k__Fungi
OTU_3264	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales
OTU_3285	k__Fungi
OTU_3298	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Pseudotremella;s__Pseudotremella_allantoinivorans_SH630855.07FU
OTU_3297	k__Fungi
OTU_3289	k__Fungi
OTU_3290	k__Fungi
OTU_3292	k__Fungi
OTU_3300	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_3287	k__Fungi;p__Basidiomycota
OTU_3291	k__Fungi;p__Ascomycota
OTU_3295	k__Fungi;p__Ascomycota
OTU_3260	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_3305	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3303	k__Fungi;p__Ascomycota
OTU_3301	k__Fungi;p__Ascomycota
OTU_3283	k__Fungi
OTU_3309	k__Fungi
OTU_3310	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae
OTU_3306	k__Fungi;p__Ascomycota
OTU_3304	k__Fungi
OTU_3313	k__Fungi
OTU_3311	k__Fungi
OTU_3293	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Conlarium
OTU_3307	k__Fungi
OTU_3316	k__Fungi;p__Ascomycota
OTU_3318	k__Fungi;p__Ascomycota
OTU_3308	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium
OTU_3324	k__Fungi
OTU_3314	k__Fungi
OTU_3315	k__Fungi
OTU_3322	k__Fungi;p__Ascomycota
OTU_3319	k__Fungi;p__Ascomycota
OTU_3328	k__Fungi;p__Ascomycota
OTU_3317	k__Fungi
OTU_3299	k__Fungi
OTU_3325	k__Fungi
OTU_3330	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3302	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_3333	k__Fungi
OTU_3329	k__Fungi;p__Ascomycota
OTU_3332	k__Fungi
OTU_3338	k__Fungi
OTU_3339	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3335	k__Fungi
OTU_3343	k__Fungi
OTU_3341	k__Fungi
OTU_3321	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_irregularis_SH187074.07FU
OTU_3340	k__Fungi
OTU_3345	k__Fungi
OTU_3347	k__Fungi;p__Ascomycota
OTU_3334	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_3352	k__Fungi;p__Ascomycota
OTU_3354	k__Fungi
OTU_3349	k__Fungi
OTU_3342	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
OTU_3368	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypomyces;s__Hypomyces_australasiaticus_SH184945.07FU
OTU_3357	k__Fungi;p__Basidiomycota
OTU_3337	k__Fungi;p__Chytridiomycota
OTU_3356	k__Fungi;p__Ascomycota
OTU_3331	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_3358	k__Fungi
OTU_3327	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_fuscus_SH205049.07FU
OTU_3360	k__Fungi;p__Ascomycota
OTU_3361	k__Fungi
OTU_3362	k__Fungi
OTU_3355	k__Fungi
OTU_3350	k__Fungi
OTU_3373	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Sarcoporia;s__Sarcoporia_polyspora_SH177307.07FU
OTU_3366	k__Fungi
OTU_3369	k__Fungi
OTU_3374	k__Fungi;p__Ascomycota
OTU_3348	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_3382	k__Fungi
OTU_3378	k__Fungi
OTU_3371	k__Fungi
OTU_3377	k__Fungi;p__Ascomycota
OTU_3383	k__Fungi
OTU_3364	k__Fungi
OTU_3380	k__Fungi
OTU_3388	k__Fungi
OTU_3393	k__Fungi;p__Ascomycota
OTU_3387	k__Fungi
OTU_3389	k__Fungi;p__Ascomycota
OTU_3363	k__Fungi;p__Ascomycota
OTU_3392	k__Fungi
OTU_3395	k__Fungi
OTU_3410	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae
OTU_3394	k__Fungi
OTU_3397	k__Fungi;p__Ascomycota
OTU_3404	k__Fungi
OTU_3365	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales
OTU_3399	k__Fungi;p__Ascomycota
OTU_3411	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Gyroporaceae;g__Gyroporus;s__Gyroporus_longicystidiatus_SH471742.07FU
OTU_3413	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
OTU_3376	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Corynascella;s__Corynascella_humicola_SH641990.07FU
OTU_3401	k__Fungi
OTU_3386	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia
OTU_3370	k__Fungi
OTU_3405	k__Fungi;p__Ascomycota
OTU_3379	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Phaeophleospora;s__Phaeophleospora_hymenocallidicola_SH190832.07FU
OTU_3398	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_oryzae_SH210222.07FU
OTU_3412	k__Fungi
OTU_3396	k__Fungi
OTU_3417	k__Fungi
OTU_3390	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_3418	k__Fungi;p__Basidiomycota
OTU_3423	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber
OTU_3416	k__Fungi
OTU_3419	k__Fungi
OTU_3437	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales
OTU_3424	k__Fungi;p__Ascomycota
OTU_3422	k__Fungi;p__Ascomycota
OTU_3426	k__Fungi
OTU_3427	k__Fungi;p__Ascomycota
OTU_3400	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_chrysanthemicola_SH211091.07FU
OTU_3429	k__Fungi;p__Ascomycota
OTU_3439	k__Fungi
OTU_3420	k__Fungi
OTU_3430	k__Fungi;p__Ascomycota
OTU_3433	k__Fungi
OTU_3434	k__Fungi
OTU_3440	k__Fungi
OTU_3454	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_kochii_SH021199.07FU
OTU_3445	k__Fungi;p__Ascomycota
OTU_3438	k__Fungi;p__Ascomycota
OTU_3448	k__Fungi
OTU_3415	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Simplicillium
OTU_3451	k__Fungi;p__Ascomycota
OTU_3414	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_3435	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae
OTU_3457	k__Fungi;p__Ascomycota
OTU_3453	k__Fungi;p__Ascomycota
OTU_3455	k__Fungi
OTU_3458	k__Fungi;p__Ascomycota
OTU_3441	k__Fungi
OTU_3472	k__Fungi
OTU_3460	k__Fungi;p__Ascomycota
OTU_3473	k__Fungi
OTU_3465	k__Fungi
OTU_3467	k__Fungi;p__Ascomycota
OTU_3464	k__Fungi
OTU_3481	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber
OTU_3461	k__Fungi
OTU_3470	k__Fungi
OTU_3443	k__Fungi;p__Ascomycota
OTU_3478	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Rhodocollybia;s__Rhodocollybia_dotae_SH455677.07FU
OTU_3476	k__Fungi;p__Ascomycota
OTU_3485	k__Fungi
OTU_3428	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus
OTU_3487	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Coltricia
OTU_3480	k__Fungi
OTU_3446	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera
OTU_3442	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae
OTU_3484	k__Fungi;p__Ascomycota
OTU_3486	k__Fungi
OTU_3459	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales
OTU_3490	k__Fungi
OTU_3483	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis_mirabilis_SH533472.07FU
OTU_3474	k__Fungi
OTU_3495	k__Fungi
OTU_3469	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_chrysanthemicola_SH211091.07FU
OTU_3489	k__Fungi
OTU_3482	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae
OTU_3492	k__Fungi
OTU_3468	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella
OTU_3494	k__Fungi
OTU_3500	k__Fungi
OTU_3502	k__Fungi;p__Ascomycota
OTU_3475	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_3504	k__Fungi;p__Ascomycota
OTU_3508	k__Fungi;p__Ascomycota
OTU_3497	k__Fungi;p__Chytridiomycota
OTU_3509	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium
OTU_3505	k__Fungi
OTU_3513	k__Fungi
OTU_3515	k__Fungi;p__Ascomycota
OTU_3511	k__Fungi
OTU_3491	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_3516	k__Fungi
OTU_3503	k__Fungi
OTU_3496	k__Fungi
OTU_3518	k__Fungi
OTU_3517	k__Fungi
OTU_3520	k__Fungi
OTU_3524	k__Fungi
OTU_3526	k__Fungi;p__Ascomycota
OTU_3519	k__Fungi
OTU_3512	k__Fungi;p__Entorrhizomycota;c__Entorrhizomycetes;o__Entorrhizales;f__Entorrhizaceae;g__Entorrhiza;s__Entorrhiza_cypericola_SH530131.07FU
OTU_3525	k__Fungi;p__Ascomycota
OTU_3530	k__Fungi
OTU_3529	k__Fungi
OTU_3531	k__Fungi;p__Ascomycota
OTU_3534	k__Fungi
OTU_3533	k__Fungi;p__Ascomycota
OTU_3510	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetidae_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis;s__Arthrographis_kalrae_SH215548.07FU
OTU_3539	k__Fungi
OTU_3535	k__Fungi
OTU_3528	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_3537	k__Fungi
OTU_3527	k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes
OTU_3522	k__Fungi
OTU_3546	k__Fungi
OTU_3540	k__Fungi
OTU_3545	k__Fungi;p__Ascomycota
OTU_3544	k__Fungi
OTU_3549	k__Fungi;p__Ascomycota
OTU_3543	k__Fungi
OTU_3532	k__Fungi
OTU_3555	k__Fungi;p__Ascomycota
OTU_3521	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus
OTU_3547	k__Fungi
OTU_3548	k__Fungi;p__Ascomycota
OTU_3556	k__Fungi
OTU_3542	k__Fungi;p__Chytridiomycota
OTU_3554	k__Fungi
OTU_3560	k__Fungi
OTU_3559	k__Fungi
OTU_3538	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_felis_SH449439.07FU
OTU_3561	k__Fungi
OTU_3565	k__Fungi;p__Ascomycota
OTU_3564	k__Fungi
OTU_3558	k__Fungi;p__Basidiomycota
OTU_3566	k__Fungi;p__Ascomycota
OTU_3574	k__Fungi
OTU_3552	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta
OTU_3570	k__Fungi
OTU_3589	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Ceriporia
OTU_3553	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Sphaerellopsis;s__Sphaerellopsis_filum_SH217288.07FU
OTU_3585	k__Fungi;p__Ascomycota
OTU_3577	k__Fungi
OTU_3579	k__Fungi
OTU_3583	k__Fungi
OTU_3588	k__Fungi;p__Ascomycota
OTU_3569	k__Fungi
OTU_3580	k__Fungi
OTU_3581	k__Fungi;p__Ascomycota
OTU_3596	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Graphidaceae;g__Diploschistes;s__Diploschistes_muscorum_SH192202.07FU
OTU_3578	k__Fungi
OTU_3551	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora
OTU_3576	k__Fungi
OTU_3582	k__Fungi;p__Ascomycota
OTU_3592	k__Fungi
OTU_3593	k__Fungi;p__Ascomycota
OTU_3590	k__Fungi
OTU_3575	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
OTU_3572	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_3568	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_3602	k__Fungi;p__Ascomycota
OTU_3605	k__Fungi
OTU_3604	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Melanogastraceae;g__Melanogaster;s__Melanogaster_ambiguus_SH182661.07FU
OTU_3603	k__Fungi
OTU_3610	k__Fungi
OTU_3625	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_3587	k__Fungi
OTU_3611	k__Fungi
OTU_3591	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_subrufescens_SH174655.07FU
OTU_3617	k__Fungi
OTU_3616	k__Fungi;p__Ascomycota
OTU_3595	k__Fungi
OTU_3620	k__Fungi
OTU_3629	k__Fungi
OTU_3621	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Xanthomendoza;s__Xanthomendoza_weberi_SH206974.07FU
OTU_3628	k__Fungi
OTU_3600	k__Fungi
OTU_3598	k__Fungi
OTU_3614	k__Fungi;p__Ascomycota
OTU_3627	k__Fungi;p__Ascomycota
OTU_3622	k__Fungi;p__Ascomycota
OTU_3594	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae
OTU_3601	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_3623	k__Fungi
OTU_3609	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Claviceps;s__Claviceps_hirtella_SH183397.07FU
OTU_3640	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_bornovanus_SH217981.07FU
OTU_3631	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3630	k__Fungi
OTU_3632	k__Fungi
OTU_3644	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia
OTU_3635	k__Fungi
OTU_3642	k__Fungi
OTU_3633	k__Fungi;p__Ascomycota
OTU_3636	k__Fungi;p__Ascomycota
OTU_3639	k__Fungi
OTU_3624	k__Fungi
OTU_3637	k__Fungi;p__Ascomycota
OTU_3613	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis
OTU_3641	k__Fungi;p__Ascomycota
OTU_3650	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3654	k__Fungi
OTU_3649	k__Fungi;p__Ascomycota
OTU_3647	k__Fungi
OTU_3656	k__Fungi
OTU_3645	k__Fungi
OTU_3652	k__Fungi
OTU_3657	k__Fungi
OTU_3655	k__Fungi;p__Ascomycota
OTU_3658	k__Fungi
OTU_3659	k__Fungi
OTU_3660	k__Fungi;p__Ascomycota
OTU_3665	k__Fungi;p__Ascomycota
OTU_3661	k__Fungi
OTU_3662	k__Fungi
OTU_3670	k__Fungi
OTU_3669	k__Fungi;p__Chytridiomycota
OTU_3646	k__Fungi
OTU_3663	k__Fungi
OTU_3681	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_3672	k__Fungi
OTU_3674	k__Fungi
OTU_3643	k__Fungi
OTU_3671	k__Fungi
OTU_3648	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;g__Neodevriesia;s__Neodevriesia_lagerstroemiae_SH009155.07FU
OTU_3675	k__Fungi;p__Ascomycota
OTU_3676	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula
OTU_3677	k__Fungi
OTU_3691	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_3680	k__Fungi;p__Ascomycota
OTU_3682	k__Fungi
OTU_3689	k__Fungi;p__Basidiomycota
OTU_3690	k__Fungi
OTU_3685	k__Fungi
OTU_3686	k__Fungi
OTU_3692	k__Fungi
OTU_3666	k__Fungi
OTU_3693	k__Fungi;p__Ascomycota
OTU_3664	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Halosphaeriaceae
OTU_3696	k__Fungi
OTU_3673	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis
OTU_3698	k__Fungi
OTU_3701	k__Fungi;p__Ascomycota
OTU_3684	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta_cateniformis_SH191393.07FU
OTU_3700	k__Fungi
OTU_3702	k__Fungi
OTU_3708	k__Fungi
OTU_3712	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_3699	k__Fungi;p__Ascomycota
OTU_3703	k__Fungi
OTU_3704	k__Fungi
OTU_3706	k__Fungi;p__Ascomycota
OTU_3718	k__Fungi;p__Ascomycota
OTU_3710	k__Fungi;p__Ascomycota
OTU_3721	k__Fungi;p__Ascomycota
OTU_3716	k__Fungi
OTU_3714	k__Fungi;p__Ascomycota
OTU_3717	k__Fungi;p__Ascomycota
OTU_3694	k__Fungi
OTU_3720	k__Fungi
OTU_3713	k__Fungi
OTU_3715	k__Fungi
OTU_3709	k__Fungi
OTU_3719	k__Fungi
OTU_3711	k__Fungi
OTU_3726	k__Fungi;p__Ascomycota
OTU_3724	k__Fungi
OTU_3731	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3730	k__Fungi;p__Ascomycota
OTU_3736	k__Fungi
OTU_3742	k__Fungi
OTU_3732	k__Fungi
OTU_3739	k__Fungi;p__Ascomycota
OTU_3746	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_3697	k__Fungi
OTU_3728	k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Ramicandelaber;s__Ramicandelaber_taiwanensis_SH184018.07FU
OTU_3737	k__Fungi;p__Ascomycota
OTU_3725	k__Fungi;p__Ascomycota
OTU_3740	k__Fungi;p__Ascomycota
OTU_3744	k__Fungi
OTU_3743	k__Fungi
OTU_3722	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae
OTU_3741	k__Fungi
OTU_3727	k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__GS08
OTU_3748	k__Fungi
OTU_3762	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
OTU_3755	k__Fungi;p__Ascomycota
OTU_3747	k__Fungi
OTU_3754	k__Fungi
OTU_3735	k__Fungi;p__Chytridiomycota
OTU_3723	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae
OTU_3764	k__Fungi
OTU_3758	k__Fungi
OTU_3763	k__Fungi
OTU_3765	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Coriolaceae;g__Antrodiella;s__Antrodiella_citrea_SH472449.07FU
OTU_3729	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Stenella;s__Stenella_musae_SH195827.07FU
OTU_3745	k__Fungi;p__Chytridiomycota
OTU_3759	k__Fungi
OTU_3738	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Latorua;s__Latorua_caligans_SH212864.07FU
OTU_3760	k__Fungi
OTU_3751	k__Fungi
OTU_3753	k__Fungi
OTU_3767	k__Fungi;p__Basidiomycota
OTU_3756	k__Fungi
OTU_3771	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_3777	k__Fungi
OTU_3768	k__Fungi;p__Ascomycota
OTU_3773	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3786	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3781	k__Fungi;p__Ascomycota
OTU_3779	k__Fungi;p__Ascomycota
OTU_3797	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Recurvomyces
OTU_3783	k__Fungi
OTU_3785	k__Fungi
OTU_3798	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae
OTU_3790	k__Fungi
OTU_3789	k__Fungi;p__Basidiomycota
OTU_3791	k__Fungi;p__Ascomycota
OTU_3774	k__Fungi
OTU_3796	k__Fungi
OTU_3795	k__Fungi
OTU_3802	k__Fungi
OTU_3799	k__Fungi
OTU_3801	k__Fungi
OTU_3787	k__Fungi
OTU_3766	k__Fungi
OTU_3769	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_3772	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae
OTU_3811	k__Fungi
OTU_3792	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Stephanonectria;s__Stephanonectria_keithii_SH207984.07FU
OTU_3805	k__Fungi
OTU_3782	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Apiosporaceae
OTU_3788	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Staphylotrichum;s__Staphylotrichum_boninense_SH195322.07FU
OTU_3812	k__Fungi
OTU_3813	k__Fungi;p__Ascomycota
OTU_3817	k__Fungi;p__Ascomycota
OTU_3816	k__Fungi;p__Ascomycota
OTU_3819	k__Fungi
OTU_3814	k__Fungi
OTU_3793	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae
OTU_3807	k__Fungi;p__Ascomycota
OTU_3824	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_3826	k__Fungi
OTU_3820	k__Fungi
OTU_3828	k__Fungi
OTU_3800	k__Fungi;p__Basidiomycota
OTU_3827	k__Fungi
OTU_3810	k__Fungi
OTU_3830	k__Fungi;p__Ascomycota
OTU_3815	k__Fungi
OTU_3839	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_3822	k__Fungi
OTU_3838	k__Fungi
OTU_3831	k__Fungi;p__Ascomycota
OTU_3806	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales
OTU_3833	k__Fungi
OTU_3832	k__Fungi
OTU_3841	k__Fungi;p__Ascomycota
OTU_3842	k__Fungi;p__Ascomycota
OTU_3843	k__Fungi
OTU_3844	k__Fungi
OTU_3837	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus
OTU_3847	k__Fungi
OTU_3848	k__Fungi;p__Ascomycota
OTU_3823	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe
OTU_3850	k__Fungi;p__Ascomycota
OTU_3849	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Caliciaceae;g__Calicium;s__Calicium_salicinum_SH023974.07FU
OTU_3836	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Moesziomyces;s__Moesziomyces_parantarcticus_SH182781.07FU
OTU_3856	k__Fungi
OTU_3840	k__Fungi
OTU_3857	k__Fungi
OTU_3864	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes
OTU_3854	k__Fungi
OTU_3853	k__Fungi
OTU_3858	k__Fungi;p__Basidiomycota;c__Agaricomycetes
